CENTRO EDUCATIVO DEUSTUKO ERRIBERA;43.268649;-2.960617;59;83;15;5;17;18;197
CENTRO MUNICIPAL ALTAMIRA;43.261229;-2.962700;310;129;104;80;30;115;768
CENTRO MUNICIPAL DE DISTRITO DE URIBARRI;43.264109;-2.923410;515;198;293;200;93;212;1511
CENTRO MUNICIPAL MASUSTEGI;43.265339;-2.923249;187;79;80;110;35;105;596
CENTRO MUNICIPAL OLABEAGA;43.265364;-2.960651;244;136;57;24;65;65;591
CENTRO MUNICIPAL URETAMENDI;43.247556;-2.949579;213;86;144;30;32;82;587
COLEGIO  ARANGOITI;43.255700;-2.948506;566;242;486;179;240;269;1982
COLEGIO  ARTATSE;43.256910;-2.899103;528;223;290;88;111;218;1458
COLEGIO  BASURTO;43.248531;-2.948955;3190;734;899;962;555;996;7336
COLEGIO  BERRIO-OTXOA;43.251521;-2.917500;2411;894;781;695;402;686;5869
COLEGIO  BIRJINETXE;43.260554;-2.907180;2029;714;683;464;514;620;5024
COLEGIO  CERVANTES;43.266923;-2.932109;2935;460;446;1503;388;755;6487
COLEGIO  DEUSTO;43.270443;-2.952127;3236;1088;590;829;565;705;7013
COLEGIO  ELEJABARRI;43.253192;-2.949118;570;248;219;122;168;275;1602
COLEGIO  FELIX SERRANO;43.258055;-2.942692;3774;758;758;1524;574;996;8384
COLEGIO  GABRIEL ARESTI;43.250662;-2.945383;2262;993;1165;716;604;1057;6797
COLEGIO  GALLEGO DE GORRIA;43.250737;-2.945974;688;291;269;208;234;274;1964
COLEGIO  GENERAL ZUMALACARREGUI (AVIFE);43.270462;-2.925113;376;109;145;50;80;160;920
COLEGIO  IRUARTETA (ZABALA);43.250972;-2.933904;2657;1100;746;538;654;976;6671
COLEGIO  ITURRIGORRI;43.250737;-2.948868;247;70;168;55;41;115;696
COLEGIO  JUAN MANUEL SANCHEZ MARCOS;43.259119;-2.935364;1998;447;406;744;344;574;4513
COLEGIO  LUIS BRIÃ‘AS;43.251387;-2.910516;2905;1079;1090;796;453;829;7152
COLEGIO  MAESTRO GARCIA RIVERO;43.254354;-2.921808;673;643;160;115;283;219;2093
COLEGIO  MINA DEL MORRO;43.248581;-2.914222;2014;926;1002;514;522;925;5903
COLEGIO  MIRIBILLA;43.253958;-2.927241;1352;1083;388;253;655;542;4273
COLEGIO  MUGICA;43.253958;-2.927241;1076;1054;210;191;517;381;3429
COLEGIO  SAN IGNACIO;43.282692;-2.961179;1267;494;424;294;375;469;3323
COLEGIO  TORRE URIZAR-TOMAS CAMACHO;43.253013;-2.936010;1001;357;287;273;243;332;2493
COLEGIO  TXURDINAGA;43.250427;-2.905527;1014;470;478;149;308;540;2959
COLEGIO  URIBARRI;43.266557;-2.920890;1229;441;362;323;248;444;3047
COLEGIO  VIUDA DE EPALZA;43.267005;-2.925720;2780;907;627;877;571;797;6559
COLEGIO  ZAMAKOLA-JUAN DELMAS;43.240684;-2.921100;1319;476;498;213;283;403;3192
COLEGIO  ZORROZA-FRAY JUAN;43.272803;-2.971374;1620;796;788;363;342;663;4572
COLEGIO  ZURBARAN;43.266529;-2.915886;1632;437;549;418;321;461;3818
DEUSTUKO IKASTOLA;43.268922;-2.949415;1620;490;352;393;221;330;3406
E.P.A. ITURRIBIDE;43.258320;-2.920430;873;458;171;161;206;279;2148
E.P.A. RAMON Y CAJAL;43.260412;-2.898443;641;291;518;184;151;346;2131
ESCUELA SUPERIOR DE INGENIEROS;43.262715;-2.949364;834;156;146;369;128;229;1862
INSTITUTO BACH. MIGUEL DE UNAMUNO;43.260800;-2.932690;1993;348;308;1076;262;654;4641
INSTITUTO DEUSTO-IBARREKOLANDA;43.275181;-2.955871;2047;664;689;561;609;565;5135
INTXIXU IKASTOLA;43.279202;-2.963726;1276;408;401;301;369;439;3194
JESUITAS;43.260977;-2.943056;2828;439;429;1551;272;655;6174
PARVULARIO ROSARIO SOLA;43.265328;-2.917664;1230;335;425;369;229;267;2855
SANTA CASA DE MISERICORDIA;43.265066;-2.947330;137;34;37;69;28;53;358
SOLOKOETXE;43.257330;-2.920874;1286;843;278;251;359;446;3463
